datetime,Volume,BBP_5_2.0,DPO_20,BULLP_13,Target,Returns,Signal,Proba,Strategy_100,Strategy_Kelly
2022-04-13 20:00:00,200,0.2489780307152972,1.6876152824994506,0.9214109010990512,0,-0.0007044320888223,0.0,0.0,-0.0,0.0007044320888223
2022-04-13 21:00:00,100,0.1268468443273636,1.690104024499476,0.6617883780849354,0,-0.0008812384860732,0.0,0.25967085,-0.0,0.0004235745862395037
2022-04-14 11:00:00,1300,0.2211182677791252,1.8289757669994628,0.887228169787079,0,-5.877688880584486e-05,0.0,0.24900872,-0.0,2.9504973681407014e-05
2022-04-14 12:00:00,4543,0.3315674331578589,2.0524647114994536,0.7946125883889295,0,0.0001175502640533,0.0,0.25429827,0.0,-5.776460653878889e-05
2022-04-14 13:00:00,482987,0.0079876787672325,1.4885160039994505,1.641039467190495,0,-0.0045947300075539,0.0,0.25035405,-0.0,0.002294111460847674
2022-04-14 14:00:00,604855,0.0333695439536474,0.4293078199994511,0.2262309475918584,0,-0.0080621695140772,0.0,0.24176921,-0.0,0.004163801053735134
2022-04-14 15:00:00,405120,0.1455726840378968,0.1956150419994458,-0.7646085792069641,0,-0.0032789846476264,0.0,0.26632392,-0.0,0.0015324405310192773
2022-04-14 16:00:00,391556,0.1908408289122693,-0.1333965205005256,-0.9440727364631414,1,-0.0035294506227625,0.0,0.29969913,-0.0,0.0014139040771410198
2022-04-14 17:00:00,375557,0.3261000276665066,0.4106422674994689,-1.3894373969684182,0,0.0017363714357294,0.0,0.3212433,0.0,-0.0006207761038076759
2022-04-14 18:00:00,480451,0.0830587612133755,-0.535577065000524,-0.7998584659729033,0,-0.0072648994112283,0.0,0.33373138,-0.0,0.0024158495542594095
2022-04-14 19:00:00,1073049,0.1166005829309013,-0.9223274150005238,-1.511854993691088,1,-0.0036220987188526,0.0,0.32501203,-0.0,0.0012676474168173517
2022-04-14 20:00:00,1222,0.2519444173611301,-0.6425929295005233,-2.021165943163794,0,0.0003628008000964,0.0,0.33272344,0.0,-0.00012137614052516702
2022-04-18 11:00:00,1671,0.158825912220051,-1.357857097500499,-2.3226151098546666,1,-0.0058206676246586,0.0,0.3553473,-0.0,0.0016839505109693294
2022-04-18 12:00:00,2935,0.3387924349357166,-0.7162596585004906,-1.820156417018296,0,0.0026113639820177,0.0,0.39253765,0.0,-0.0005612466024274075
2022-04-18 13:00:00,563484,0.2462124831540549,-0.9392508535005106,-0.6712979960156815,1,-0.0022465779510554,0.0,0.4479927,-0.0,0.00023367685186493408
2022-04-18 14:00:00,430422,0.8161193529016323,0.0900924239994935,0.3205484805579885,0,0.0060602572888015,0.0,0.45788035,0.0,-0.0005105118564677506
2022-04-18 15:00:00,343493,0.4433708293218293,-0.6938609990005205,-0.4263580523788732,0,-0.0047238460171676,1.0,0.500389,-0.0047238460171676,-3.6749624142689416e-06
2022-04-18 16:00:00,329805,0.1277291309558426,-1.406636421000485,-0.9087063720390348,1,-0.0045633007666499,0.0,0.48729914,-0.0,0.00011591564939756321
2022-04-18 17:00:00,302402,0.7300829395070776,-0.0990518955004802,-0.0806215560334635,0,0.0081385204567059,1.0,0.5277466,0.0081385204567059,0.00045163283304233795
2022-04-18 18:00:00,295512,0.641992662018161,-0.2025835150004695,0.1819031133998692,0,-0.0002419842344547,1.0,0.6059364,-0.0002419842344547,-5.12698812022875e-05
2022-04-18 19:00:00,604497,0.6096830378982702,-0.4833135085004869,-0.2351709185143704,1,-0.0010896544881031,1.0,0.6037484,-0.0010896544881031,-0.00022609977828057394
2022-04-18 20:00:00,17111,0.8138763364987818,0.2279686744995501,0.3018616812733796,0,0.0048941217396665,1.0,0.5404368,0.0048941217396665,0.0003958052859615479
2022-04-18 23:00:00,245,0.7057972940663866,-0.0368333680004582,0.0880820582343062,1,-0.0012062000071608,0.0,0.4641388,-0.0,8.65115452418688e-05
2022-04-19 11:00:00,300,0.3795332900488736,-0.6520501480004555,-0.2572813215134317,0,-0.0023562830099477,0.0,0.4167594,-0.0,0.00039227681568490455
2022-04-19 12:00:00,3242,0.2411985485737496,-1.0621946600004435,0.0823884872741871,0,-0.001452784714937,0.0,0.41972882,-0.0,0.00023323349962150588
2022-04-19 13:00:00,538921,0.2516972477688194,-1.153282585500449,-0.2365630409078392,1,6.057483073362846e-05,0.0,0.49050224,0.0,-1.1506506178475333e-06
2022-04-19 14:00:00,487714,0.9664663390160544,0.3397131534995594,1.6147236863647263,1,0.0101847989494965,1.0,0.5985651,0.0101847989494965,0.0020077314869447935
2022-04-19 15:00:00,334859,0.8383915135886585,0.506458793999542,1.5973695297412007,0,0.0014379870224718,1.0,0.6654313,0.0014379870224718,0.0004757761844598012
2022-04-19 16:00:00,233017,0.6163156566335357,-0.1202061940004739,1.0776356540638972,0,-0.0032383836466332,1.0,0.6473261,-0.0032383836466332,-0.0009541969423083671
2022-04-19 17:00:00,245765,0.5409654579752545,-0.2531049645004657,0.670547193483344,1,0.0,1.0,0.6063079,0.0,0.0
2022-04-19 18:00:00,346092,0.4411764679058048,-0.1520620805004569,0.601775347271456,1,0.0009006034603835,1.0,0.58902884,0.0009006034603835,0.00016035935428411688
2022-04-19 19:00:00,934381,0.9251051608937336,0.5870940079995535,1.5141481205183993,0,0.0049090137357499,1.0,0.5726306,0.0049090137357499,0.0007130890713390049
2022-04-19 20:00:00,14824,0.2971658808493018,-0.6099904180004785,0.7872938047300408,0,-0.0065306843546739,1.0,0.5453576,-0.0065306843546739,-0.000592432140840723
